reg,depot,vehicle_type,source_vehicle_type,make,model,ownership,fleet_group,supplier,registration_year,status,hire_lease_start_date,lease_term_months,lease_cost,weekly_hire_charge,odometer_reading,odometer_unit,inspection_due_date,inspection_frequency_weeks,mot_due_date,mot_frequency_weeks,loler_frequency_weeks,service_due_date,service_frequency_weeks,service_cost,tacho_frequency_weeks,payload_kg,fuel,gearbox_type,livery,rm_cover,telematics,telematics_provider,cctv,trailer_tracker,insurance_database,dart_charge_registered,congestion_zone_registered,merseyflow_registered,three_seater,front_tyre_size,back_tyre_size,date_added,tacho_due_date,middle_tyre_size,loler_due_date
SA25HWN,Gravesend,Hi-Cube,Panel Van,Example Automotive,Cargo Van 100,Lease,Delivery Fleet,Example Fleet Partners,2025,Active,2025-09-03,36,472,0,37250,M,2026-10-29,12,2027-09-09,52,0,2026-11-19,26,250,0,1100,Diesel,Manual,White,0,0,,0,0,0,1,1,1,1,225/65R16C,225/65R16C,2025-09-03,,,
SA23HXN,Gravesend,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Hire,Delivery Fleet,Demo Hire Services,2023,Active,2023-09-21,0,0,145,92000,M,2026-12-17,12,2027-01-14,52,0,2026-12-03,26,650,0,1100,Diesel,Manual,Green / Sample Branding,1,0,,0,0,1,1,0,0,1,225/65R16C,225/65R16C,2023-09-21,,,
SA20CKP,Yaxley,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Lease,Delivery Fleet,Demo Hire Services,2020,Active,2020-01-18,24,237,0,185750,M,2026-11-12,12,2026-12-10,52,0,2027-02-11,26,250,0,1100,Diesel,Manual,Silver,0,1,DemoTrack,0,0,0,1,1,0,1,225/65R16C,225/65R16C,2020-01-18,,,
SA22NUY,Yaxley,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Hire,Delivery Fleet,Demo Hire Services,2022,Active,2022-12-24,0,0,145,204250,M,2026-10-01,12,2027-03-18,52,0,2026-12-24,26,150,0,1100,Diesel,Manual,Blue,1,1,FleetExample,1,0,0,1,1,1,1,225/65R16C,225/65R16C,2022-12-24,,,
SA25DXX,Yaxley,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Hire,Delivery Fleet,Sample Leasing Ltd,2025,Active,2025-01-03,0,0,650,26500,M,2026-12-03,12,2025-12-04,52,0,2027-03-25,26,250,0,1100,Diesel,Manual,White / Sample Branding,1,0,,1,0,0,1,1,1,1,225/65R16C,225/65R16C,2025-01-03,,,
SA20TPF,Yaxley,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Hire,Delivery Fleet,Demo Hire Services,2020,Active,2020-12-26,0,0,650,86000,M,2026-11-19,12,2026-10-29,52,0,2027-03-18,26,150,0,1100,Diesel,Manual,White,0,0,,0,0,1,1,1,0,0,225/65R16C,225/65R16C,2020-12-26,,,
SA20JNS,Yaxley,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Lease,Delivery Fleet,Demo Hire Services,2020,Active,2020-10-20,60,460,0,233500,M,2026-10-29,12,2027-09-16,52,0,2026-11-19,26,150,0,1100,Diesel,Manual,Silver,1,1,DemoTrack,0,0,0,1,1,1,1,225/65R16C,225/65R16C,2020-10-20,,,
SA21LKC,Yaxley,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Hire,Delivery Fleet,Demo Hire Services,2021,VOR,2021-06-06,0,0,650,111750,M,2026-11-05,12,2027-06-17,52,0,2026-10-15,26,0,0,1100,Diesel,Manual,Blue,0,1,FleetExample,1,0,1,1,1,0,1,225/65R16C,225/65R16C,2021-06-06,,,
SA23CEV,Yaxley,Hi-Cube,Panel Van,Example Automotive,Cargo Van 100,Lease,Delivery Fleet,Demo Hire Services,2023,Active,2023-02-18,24,398,0,9500,M,2026-12-17,12,2027-06-03,52,0,2026-12-10,26,0,0,1100,Diesel,Manual,White / Sample Branding,1,1,DemoTrack,0,0,0,1,0,0,1,225/65R16C,225/65R16C,2023-02-18,,,
SA19TEY,Yaxley,Hi-Cube,Panel Van,Example Automotive,Cargo Van 100,Owned,Delivery Fleet,,2019,Active,2019-09-25,0,0,0,134000,M,2026-12-10,12,2027-01-28,52,0,2026-10-08,26,0,0,1100,Diesel,Manual,Silver,0,1,DemoTrack,1,0,0,1,0,1,1,225/65R16C,225/65R16C,2019-09-25,,,
SA23VWZ,Yaxley,Hi-Cube,Panel Van,Example Automotive,Cargo Van 100,Hire,Delivery Fleet,Example Fleet Partners,2023,Active,2023-01-22,0,0,145,88500,M,2026-12-17,12,2026-12-31,52,0,2026-09-03,26,650,0,1100,Diesel,Manual,White,0,0,,0,0,0,1,0,0,1,225/65R16C,225/65R16C,2023-01-22,,,
SA23YPM,Yaxley,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Hire,Delivery Fleet,Sample Leasing Ltd,2023,Active,2023-12-10,0,0,145,110250,M,2026-08-06,12,2026-10-01,52,0,2026-10-08,26,250,0,1100,Diesel,Manual,Silver,0,1,SampleConnect,1,0,0,1,1,0,1,225/65R16C,225/65R16C,2023-12-10,,,
SA21CTP,Luton,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Owned,Delivery Fleet,,2021,Active,2021-02-25,0,0,0,161250,M,2026-11-26,12,2027-08-19,52,0,2027-03-04,26,250,0,1100,Diesel,Manual,Green / Sample Branding,0,0,,0,0,1,1,1,1,1,225/65R16C,225/65R16C,2021-02-25,,,
SA20HOW,Luton,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Lease,Delivery Fleet,Illustration Rentals,2020,Active,2020-03-08,24,292,0,27250,M,2026-11-12,12,2027-07-15,52,0,2026-12-24,26,400,0,1100,Diesel,Manual,White / Sample Branding,1,0,,0,0,0,0,0,1,1,225/65R16C,225/65R16C,2020-03-08,,,
SA23XGS,Luton,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Lease,Delivery Fleet,Example Fleet Partners,2023,VOR,2023-01-28,48,357,0,123500,M,2026-11-19,12,2027-05-06,52,0,2026-12-24,26,400,0,1100,Diesel,Manual,White,0,1,FleetExample,0,0,0,1,1,1,1,225/65R16C,225/65R16C,2023-01-28,,,
SA25FZR,Luton,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Hire,Delivery Fleet,Demo Hire Services,2025,Active,2025-01-12,0,0,145,113250,M,2026-12-10,12,2026-12-10,52,0,2026-12-03,26,150,0,1100,Diesel,Manual,White,0,0,,1,0,1,1,1,0,1,225/65R16C,225/65R16C,2025-01-12,,,
SA24TBJ,Luton,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Lease,Delivery Fleet,Sample Leasing Ltd,2024,Active,2024-04-15,24,289,0,77750,M,2026-11-19,12,2027-07-01,52,0,2026-12-31,26,650,0,1100,Diesel,Manual,Green / Sample Branding,0,0,,1,0,0,0,0,0,0,225/65R16C,225/65R16C,2024-04-15,,,
SA21RWX,Luton,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Owned,Delivery Fleet,,2021,Active,2021-03-16,0,0,0,38250,M,2026-11-12,12,2027-04-08,52,0,2026-11-26,26,250,0,1100,Diesel,Manual,Blue,1,1,DemoTrack,0,0,1,1,1,1,1,225/65R16C,225/65R16C,2021-03-16,,,
SA25ZDS,Luton,Hi-Cube,Panel Van,Example Automotive,Cargo Van 100,Hire,Delivery Fleet,Sample Leasing Ltd,2025,Active,2025-04-18,0,0,145,5250,M,2026-12-10,12,2026-10-29,52,0,2027-02-11,26,0,0,1100,Diesel,Manual,White / Sample Branding,0,0,,0,0,0,1,1,1,0,225/65R16C,225/65R16C,2025-04-18,,,
SA21BSM,Luton,Hi-Cube,Panel Van,Example Automotive,Cargo Van 100,Lease,Delivery Fleet,Example Fleet Partners,2021,Active,2021-10-22,60,493,0,131250,M,2026-11-26,12,2026-11-12,52,0,2026-11-12,26,150,0,1100,Diesel,Manual,White / Sample Branding,0,1,FleetExample,0,0,1,1,1,0,0,225/65R16C,225/65R16C,2021-10-22,,,
SA21LYC,Luton,Hi-Cube,Panel Van,Example Automotive,Cargo Van 100,Owned,Delivery Fleet,,2021,Active,2021-03-18,0,0,0,100250,M,2026-10-22,12,2027-09-09,52,0,2027-02-11,26,150,0,1100,Diesel,Manual,Silver,1,0,,1,0,1,1,1,0,1,225/65R16C,225/65R16C,2021-03-18,,,
SA23UUX,Luton,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Lease,Delivery Fleet,Sample Leasing Ltd,2023,Active,2023-12-12,36,324,0,43000,M,2026-10-08,12,2026-12-17,52,0,2026-12-17,26,0,0,1100,Diesel,Manual,Green / Sample Branding,1,0,,0,0,1,1,1,0,1,225/65R16C,225/65R16C,2023-12-12,,,
SA25HTE,Newport,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Lease,Delivery Fleet,Example Fleet Partners,2025,Active,2025-10-24,60,346,0,218750,M,2026-10-15,12,2027-07-15,52,0,2027-03-18,26,150,0,1100,Diesel,Manual,Silver,1,1,SampleConnect,0,0,1,1,0,0,1,225/65R16C,225/65R16C,2025-10-24,,,
SA20YYE,Newport,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Hire,Delivery Fleet,Sample Leasing Ltd,2020,Active,2020-04-07,0,0,145,136750,M,2026-10-15,12,2027-07-15,52,0,2026-11-19,26,150,0,1100,Diesel,Manual,Green / Sample Branding,1,0,,1,0,1,1,0,0,1,225/65R16C,225/65R16C,2020-04-07,,,
SA25HKJ,Newport,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Hire,Delivery Fleet,Sample Leasing Ltd,2025,Active,2025-08-17,0,0,145,173000,M,2026-12-17,12,2026-08-06,52,0,2026-12-31,26,400,0,1100,Diesel,Manual,Blue,0,0,,0,0,0,1,0,0,0,225/65R16C,225/65R16C,2025-08-17,,,
SA23EPZ,Newport,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Owned,Delivery Fleet,,2023,Active,2023-05-13,0,0,0,204500,M,2026-11-05,12,2027-09-09,52,0,2027-02-04,26,0,0,1100,Diesel,Manual,Blue,0,1,FleetExample,0,0,0,1,0,0,1,225/65R16C,225/65R16C,2023-05-13,,,
SA21NVS,Newport,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Owned,Delivery Fleet,,2021,Active,2021-04-17,0,0,0,62500,M,2026-12-03,12,2026-12-17,52,0,2026-11-19,26,0,0,1100,Diesel,Manual,Silver,1,0,,0,0,0,1,1,0,1,225/65R16C,225/65R16C,2021-04-17,,,
SA20TYO,Newport,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Lease,Delivery Fleet,Demo Hire Services,2020,VOR,2020-06-02,48,206,0,153500,M,2026-11-26,12,2027-01-21,52,0,2027-01-21,26,150,0,1100,Diesel,Manual,Green / Sample Branding,1,0,,1,0,1,1,0,1,1,225/65R16C,225/65R16C,2020-06-02,,,
SA19MCG,Newport,Hi-Cube,Panel Van,Example Automotive,Cargo Van 100,Hire,Delivery Fleet,Sample Leasing Ltd,2019,Active,2019-12-08,0,0,650,60750,M,2026-11-26,12,2027-08-26,52,0,2026-10-15,26,400,0,1100,Diesel,Manual,Blue,1,0,,1,0,0,1,0,1,1,225/65R16C,225/65R16C,2019-12-08,,,
SA25BMC,Newport,Hi-Cube,Panel Van,Example Automotive,Cargo Van 100,Lease,Delivery Fleet,Demo Hire Services,2025,VOR,2025-03-21,36,549,0,143000,M,2026-12-03,12,2027-07-15,52,0,2026-11-26,26,400,0,1100,Diesel,Manual,Green / Sample Branding,1,0,,0,0,0,1,0,0,1,225/65R16C,225/65R16C,2025-03-21,,,
SA21KRA,Newport,Hi-Cube,Panel Van,Example Automotive,Cargo Van 100,Hire,Delivery Fleet,Example Fleet Partners,2021,Active,2021-11-03,0,0,145,31500,M,2026-11-05,12,2027-09-02,52,0,2026-04-02,26,650,0,1100,Diesel,Manual,White / Sample Branding,0,1,FleetExample,0,0,0,1,1,0,1,225/65R16C,225/65R16C,2021-11-03,,,
SA19DRA,Newport,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Hire,Delivery Fleet,Sample Leasing Ltd,2019,Active,2019-07-06,0,0,650,147000,M,2026-08-13,12,2026-10-08,52,0,2026-11-12,26,650,0,1100,Diesel,Manual,Blue,0,0,,1,0,1,1,0,1,1,225/65R16C,225/65R16C,2019-07-06,,,
SA20GDO,Spennymoor,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Lease,Delivery Fleet,Illustration Rentals,2020,Active,2020-01-19,48,554,0,176750,M,2026-12-03,12,2026-10-15,52,0,2027-02-04,26,0,0,1100,Diesel,Manual,White / Sample Branding,0,1,SampleConnect,1,0,1,1,0,0,1,225/65R16C,225/65R16C,2020-01-19,,,
SA20PDC,Spennymoor,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Hire,Delivery Fleet,Illustration Rentals,2020,Active,2020-08-26,0,0,145,228000,M,2026-12-17,12,2027-06-03,52,0,2027-02-18,26,0,0,1100,Diesel,Manual,Silver,0,1,FleetExample,1,0,1,1,1,1,1,225/65R16C,225/65R16C,2020-08-26,,,
SA20XTS,Spennymoor,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Hire,Delivery Fleet,Example Fleet Partners,2020,Active,2020-05-09,0,0,650,116750,M,2026-11-05,12,2027-07-01,52,0,2026-12-03,26,650,0,1100,Diesel,Manual,White,0,1,FleetExample,0,0,0,1,1,0,1,225/65R16C,225/65R16C,2020-05-09,,,
SA21MOH,Spennymoor,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Hire,Delivery Fleet,Demo Hire Services,2021,Active,2021-09-07,0,0,145,218250,M,2026-11-19,12,2026-12-10,52,0,2027-01-14,26,250,0,1100,Diesel,Manual,Green / Sample Branding,1,1,SampleConnect,1,0,1,1,0,1,1,225/65R16C,225/65R16C,2021-09-07,,,
SA23SYT,Spennymoor,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Hire,Delivery Fleet,Illustration Rentals,2023,Active,2023-06-24,0,0,650,177000,M,2026-12-03,12,2026-10-01,52,0,2026-12-31,26,0,0,1100,Diesel,Manual,White,0,0,,1,0,1,1,0,0,1,225/65R16C,225/65R16C,2023-06-24,,,
SA23HWK,Spennymoor,3.5 Tonne,Panel Van,Example Automotive,Cargo Van 100,Owned,Delivery Fleet,,2023,Active,2023-08-16,0,0,0,77250,M,2026-10-01,12,2027-09-02,52,0,2027-03-11,26,0,0,1100,Diesel,Manual,Silver,1,1,DemoTrack,1,0,0,1,1,0,1,225/65R16C,225/65R16C,2023-08-16,,,
SA23KYB,Spennymoor,Hi-Cube,Panel Van,Example Automotive,Cargo Van 100,Owned,Delivery Fleet,,2023,Active,2023-06-08,0,0,0,54500,M,2026-10-01,12,2027-09-02,52,0,2027-03-18,26,400,0,1100,Diesel,Manual,Green / Sample Branding,0,1,FleetExample,1,0,0,1,1,0,1,225/65R16C,225/65R16C,2023-06-08,,,
SA19HNM,Spennymoor,Tractor Unit,Tractor Unit,Demo Trucks,TX 500,Hire,Trunking Network,Sample Leasing Ltd,2019,Active,2019-11-20,0,0,145,54500,KM,2026-10-15,6,2027-06-10,52,0,2026-10-01,12,150,104,12000,Diesel,Auto,White,0,0,,0,0,0,0,1,1,0,315/70R22.5,315/70R22.5,2019-11-20,2027-09-02,,
SA21BYB,Spennymoor,Tractor Unit,Tractor Unit,Demo Trucks,TX 500,Hire,Trunking Network,Sample Leasing Ltd,2021,Active,2021-02-28,0,0,650,215500,KM,2026-10-29,6,2026-11-12,52,0,2026-11-26,12,150,104,12000,Diesel,Auto,White,1,1,SampleConnect,1,0,0,1,0,1,0,315/70R22.5,315/70R22.5,2021-02-28,2027-11-11,,
SA21BRK,Spennymoor,Tractor Unit,Tractor Unit,Demo Trucks,TX 500,Owned,Trunking Network,,2021,VOR,2021-03-07,0,0,0,107500,KM,2026-11-05,6,2027-06-03,52,0,2026-12-17,12,250,104,12000,Diesel,Auto,White / Sample Branding,0,0,,0,0,0,1,0,1,0,315/70R22.5,315/70R22.5,2021-03-07,2028-08-17,,
SA21XLU,Dundee,Tractor Unit,Tractor Unit,Demo Trucks,TX 500,Hire,Trunking Network,Illustration Rentals,2021,Active,2021-12-10,0,0,145,162250,KM,2026-10-29,6,2027-07-15,52,0,2026-10-15,12,650,104,12000,Diesel,Auto,Blue,1,1,DemoTrack,0,0,0,1,0,1,0,315/70R22.5,315/70R22.5,2021-12-10,2028-04-27,,
SA24HUO,Dundee,Tractor Unit,Tractor Unit,Demo Trucks,TX 500,Owned,Trunking Network,,2024,Active,2024-07-23,0,0,0,213000,KM,2026-10-01,6,2026-11-26,52,0,2026-10-29,12,0,104,12000,Diesel,Auto,Silver,1,1,FleetExample,0,0,0,1,1,0,0,315/70R22.5,315/70R22.5,2024-07-23,2026-06-11,,
SA21OTD,Dundee,Tractor Unit,Tractor Unit,Demo Trucks,TX 500,Lease,Trunking Network,Illustration Rentals,2021,Active,2021-09-03,48,487,0,191000,KM,2026-10-22,6,2026-04-23,52,0,2026-12-10,12,250,104,12000,Diesel,Auto,White,1,1,DemoTrack,1,0,1,1,1,0,0,315/70R22.5,315/70R22.5,2021-09-03,2027-10-14,,
SA20AUO,Dundee,Tractor Unit,Tractor Unit,Demo Trucks,TX 500,Lease,Trunking Network,Illustration Rentals,2020,Active,2020-10-13,24,353,0,227500,KM,2026-10-08,6,2027-01-21,52,0,2026-12-17,12,150,104,12000,Diesel,Auto,White,1,0,,1,0,0,1,1,1,0,315/70R22.5,315/70R22.5,2020-10-13,2027-08-19,,
SA19ZAA,Dundee,Tractor Unit,Tractor Unit,Demo Trucks,TX 500,Lease,Trunking Network,Demo Hire Services,2019,VOR,2019-08-21,48,551,0,84250,KM,2026-10-22,6,2027-06-17,52,0,2026-12-10,12,650,104,12000,Diesel,Auto,Silver,1,0,,1,0,0,1,1,0,0,315/70R22.5,315/70R22.5,2019-08-21,2026-10-08,,
SA23PCJ,Dundee,Tractor Unit,Tractor Unit,Demo Trucks,TX 500,Hire,Trunking Network,Example Fleet Partners,2023,Active,2023-02-26,0,0,650,122250,KM,2026-10-15,6,2027-04-15,52,0,2026-10-01,12,150,104,12000,Diesel,Auto,White,1,0,,0,0,0,1,1,0,0,315/70R22.5,315/70R22.5,2023-02-26,2027-08-19,,
SA24XHH,Dundee,Tractor Unit,Tractor Unit,Demo Trucks,TX 500,Lease,Trunking Network,Sample Leasing Ltd,2024,Active,2024-08-12,24,495,0,11250,KM,2026-11-05,6,2027-06-03,52,0,2026-11-05,12,400,104,12000,Diesel,Auto,Green / Sample Branding,1,0,,0,0,0,1,0,1,0,315/70R22.5,315/70R22.5,2024-08-12,2028-09-07,,
SA19PFL,Dundee,Tractor Unit,Tractor Unit,Demo Trucks,TX 500,Hire,Trunking Network,Illustration Rentals,2019,Active,2019-08-13,0,0,145,76000,KM,2026-10-29,6,2027-07-08,52,0,2026-10-29,12,250,104,12000,Diesel,Auto,Blue,1,1,DemoTrack,0,0,1,1,1,1,0,315/70R22.5,315/70R22.5,2019-08-13,2028-06-22,,
SA23TVO,Dundee,Tractor Unit,Tractor Unit,Demo Trucks,TX 500,Hire,Trunking Network,Illustration Rentals,2023,Active,2023-11-14,0,0,650,43250,KM,2026-10-08,6,2027-06-17,52,0,2026-09-17,12,250,104,12000,Diesel,Auto,Blue,0,0,,0,0,1,1,1,1,0,315/70R22.5,315/70R22.5,2023-11-14,2027-02-25,,
SA24XJF,Crawley,Tractor Unit,Tractor Unit,Demo Trucks,TX 500,Owned,Trunking Network,,2024,Active,2024-05-25,0,0,0,200250,KM,2026-09-17,6,2026-12-10,52,0,2026-10-15,12,250,104,12000,Diesel,Auto,Silver,1,1,SampleConnect,0,0,0,1,0,0,0,315/70R22.5,315/70R22.5,2024-05-25,2027-04-29,,
SA23BSS,Crawley,Tractor Unit,Tractor Unit,Demo Trucks,TX 500,Hire,Trunking Network,Illustration Rentals,2023,Active,2023-04-15,0,0,650,133250,KM,2026-11-05,6,2027-06-10,52,0,2026-10-22,12,400,104,12000,Diesel,Auto,White / Sample Branding,0,0,,0,0,1,1,0,1,0,315/70R22.5,315/70R22.5,2023-04-15,2027-11-04,,
SA19HYF,Crawley,Tractor Unit,Tractor Unit,Demo Trucks,TX 500,Lease,Trunking Network,Demo Hire Services,2019,Active,2019-02-12,24,475,0,168000,KM,2026-10-08,6,2027-08-26,52,0,2026-12-17,12,0,104,12000,Diesel,Auto,Silver,1,0,,0,0,0,1,1,1,0,315/70R22.5,315/70R22.5,2019-02-12,2027-02-18,,
SA21EYS,Crawley,Tractor Unit,Tractor Unit,Demo Trucks,TX 500,Hire,Trunking Network,Sample Leasing Ltd,2021,Active,2021-04-23,0,0,145,89500,KM,2026-11-05,6,2027-04-15,52,0,2026-12-10,12,0,104,12000,Diesel,Auto,Blue,1,1,SampleConnect,0,0,0,1,0,1,0,315/70R22.5,315/70R22.5,2021-04-23,2028-04-27,,
SA20HPD,Crawley,Tractor Unit,Tractor Unit,Demo Trucks,TX 500,Hire,Trunking Network,Example Fleet Partners,2020,Active,2020-04-18,0,0,650,80500,KM,2026-10-29,6,2027-01-28,52,0,2026-10-29,12,0,104,12000,Diesel,Auto,Silver,0,0,,1,0,0,0,1,0,0,315/70R22.5,315/70R22.5,2020-04-18,2027-10-21,,
SA19BGU,Crawley,Tractor Unit,Tractor Unit,Demo Trucks,TX 500,Lease,Trunking Network,Demo Hire Services,2019,Active,2019-01-23,48,404,0,149250,KM,2026-10-29,6,2026-10-22,52,0,2026-11-26,12,250,104,12000,Diesel,Auto,White,0,1,DemoTrack,0,0,0,1,0,0,0,315/70R22.5,315/70R22.5,2019-01-23,2027-05-06,,
SA20PPB,Crawley,Tractor Unit,Tractor Unit,Demo Trucks,TX 500,Lease,Trunking Network,Sample Leasing Ltd,2020,Active,2020-01-18,24,209,0,174250,KM,2026-10-15,6,2026-12-03,52,0,2026-11-12,12,150,104,12000,Diesel,Auto,Silver,1,0,,0,0,0,1,0,0,0,315/70R22.5,315/70R22.5,2020-01-18,2028-05-11,,
SA21LFM,Crawley,Tractor Unit,Tractor Unit,Demo Trucks,TX 500,Hire,Trunking Network,Illustration Rentals,2021,Active,2021-10-25,0,0,650,198500,KM,2026-10-15,6,2027-07-22,52,0,2026-11-12,12,0,104,12000,Diesel,Auto,Blue,1,0,,0,0,0,1,0,0,0,315/70R22.5,315/70R22.5,2021-10-25,2027-02-04,,
SA19JAL,Heywood,Tractor Unit,Tractor Unit,Demo Trucks,TX 500,Lease,Trunking Network,Example Fleet Partners,2019,Active,2019-11-10,24,308,0,5250,KM,2026-10-08,6,2027-03-11,52,0,2026-12-10,12,150,104,12000,Diesel,Auto,Green / Sample Branding,0,1,SampleConnect,0,0,0,1,1,1,0,315/70R22.5,315/70R22.5,2019-11-10,2027-07-15,,
SA24ZEC,Heywood,Tractor Unit,Tractor Unit,Demo Trucks,TX 500,Lease,Trunking Network,Illustration Rentals,2024,Active,2024-01-10,48,428,0,239250,KM,2026-11-05,6,2027-04-01,52,0,2026-10-08,12,400,104,12000,Diesel,Auto,Silver,0,1,DemoTrack,1,0,1,1,1,0,0,315/70R22.5,315/70R22.5,2024-01-10,2027-05-27,,
SA21HXJ,Heywood,Tractor Unit,Tractor Unit,Demo Trucks,TX 500,Hire,Trunking Network,Example Fleet Partners,2021,Active,2021-03-22,0,0,650,24500,KM,2026-10-22,6,2027-07-01,52,0,2026-10-22,12,0,104,12000,Diesel,Auto,Green / Sample Branding,1,1,SampleConnect,0,0,0,1,0,0,0,315/70R22.5,315/70R22.5,2021-03-22,2027-02-25,,
SA22ARM,Heywood,Tractor Unit,Tractor Unit,Demo Trucks,TX 500,Owned,Trunking Network,,2022,Active,2022-06-21,0,0,0,47750,KM,2026-10-08,6,2027-03-04,52,0,2026-11-05,12,0,104,12000,Diesel,Auto,White,0,1,DemoTrack,0,0,1,1,1,1,0,315/70R22.5,315/70R22.5,2022-06-21,2027-10-28,,
SA25JAD,Heywood,Tractor Unit,Tractor Unit,Demo Trucks,TX 500,Hire,Trunking Network,Illustration Rentals,2025,Active,2025-06-01,0,0,145,25000,KM,2026-10-15,6,2027-08-26,52,0,2026-11-12,12,0,104,12000,Diesel,Auto,Silver,1,1,SampleConnect,0,0,1,1,0,0,0,315/70R22.5,315/70R22.5,2025-06-01,2025-06-05,,
SA24CEN,Heywood,Tractor Unit,Tractor Unit,Demo Trucks,TX 500,Hire,Trunking Network,Illustration Rentals,2024,Active,2024-09-03,0,0,145,165000,KM,2026-10-22,6,2025-12-11,52,0,2026-11-19,12,150,104,12000,Diesel,Auto,White,0,1,DemoTrack,0,0,0,0,1,1,0,315/70R22.5,315/70R22.5,2024-09-03,2028-03-23,,
SA24RKO,Heywood,Tractor Unit,Tractor Unit,Demo Trucks,TX 500,Owned,Trunking Network,,2024,Active,2024-02-20,0,0,0,189750,KM,2026-10-15,6,2026-10-15,52,0,2026-11-05,12,150,104,12000,Diesel,Auto,Green / Sample Branding,1,0,,1,0,1,0,1,0,0,315/70R22.5,315/70R22.5,2024-02-20,2028-05-18,,
SA22GFJ,Heywood,Tractor Unit,Tractor Unit,Demo Trucks,TX 500,Lease,Trunking Network,Example Fleet Partners,2022,Active,2022-09-20,24,201,0,96000,KM,2026-10-15,6,2027-01-07,52,0,2026-10-01,12,250,104,12000,Diesel,Auto,Silver,1,0,,0,0,0,1,1,0,0,315/70R22.5,315/70R22.5,2022-09-20,2027-05-27,,
SA25FMV,Larkhall,Tractor Unit,Tractor Unit,Demo Trucks,TX 500,Hire,Trunking Network,Example Fleet Partners,2025,Active,2025-09-07,0,0,145,141250,KM,2026-10-29,6,2027-05-06,52,0,2026-10-29,12,400,104,12000,Diesel,Auto,Green / Sample Branding,0,0,,0,0,1,1,0,1,0,315/70R22.5,315/70R22.5,2025-09-07,2026-11-05,,
SA24SYT,Larkhall,Tractor Unit,Tractor Unit,Demo Trucks,TX 500,Owned,Trunking Network,,2024,Active,2024-03-18,0,0,0,102750,KM,2026-10-29,6,2026-10-08,52,0,2026-12-17,12,400,104,12000,Diesel,Auto,White / Sample Branding,0,0,,0,0,0,1,1,0,0,315/70R22.5,315/70R22.5,2024-03-18,2027-07-22,,
SA20GZG,Larkhall,Tractor Unit,Tractor Unit,Demo Trucks,TX 500,Hire,Trunking Network,Example Fleet Partners,2020,VOR,2020-10-21,0,0,145,229500,KM,2026-10-08,6,2027-06-03,52,0,2026-11-19,12,150,104,12000,Diesel,Auto,Green / Sample Branding,1,1,DemoTrack,0,0,1,0,1,0,0,315/70R22.5,315/70R22.5,2020-10-21,2028-07-13,,
SA25BOO,Larkhall,Tractor Unit,Tractor Unit,Demo Trucks,TX 500,Lease,Trunking Network,Example Fleet Partners,2025,Active,2025-04-02,24,227,0,129250,KM,2026-11-05,6,2026-10-08,52,0,2026-09-10,12,650,104,12000,Diesel,Auto,White / Sample Branding,0,1,FleetExample,1,0,1,1,0,0,0,315/70R22.5,315/70R22.5,2025-04-02,2026-10-08,,
SA24LZS,Larkhall,Tractor Unit,Tractor Unit,Demo Trucks,TX 500,Lease,Trunking Network,Example Fleet Partners,2024,Active,2024-09-14,60,541,0,109250,KM,2026-08-27,6,2027-04-22,52,0,2026-11-12,12,400,104,12000,Diesel,Auto,White,1,0,,1,0,1,0,0,0,0,315/70R22.5,315/70R22.5,2024-09-14,2027-12-09,,
SA23KNW,Larkhall,Tractor Unit,Tractor Unit,Demo Trucks,TX 500,Hire,Trunking Network,Illustration Rentals,2023,Active,2023-12-12,0,0,145,64250,KM,2026-10-15,6,2027-01-21,52,0,2026-10-29,12,0,104,12000,Diesel,Auto,White,1,0,,0,0,0,1,0,0,0,315/70R22.5,315/70R22.5,2023-12-12,2027-09-16,,
