reg,depot,vehicle_type,vor_date,vor_category,vor_sub_category,vor_details,damage_type,covered_under_rm,repair_site,reported_to_supplier,liability,original_expected_return_date,expected_return_date,eta_revision_count,actual_return_date,status,source_vor_term_days,fraikin_view_number
SA25SPF,Yaxley,Tractor Unit,2025-12-12,Non-Scheduled Maintenance,Tail Lift,Sample tail lift reported at Yaxley,Mechanical,1,Sample Repair Site 5,1,AO,2025-12-19,2025-12-22,1,2025-12-22,Returned,10,
SA22WDT,Coventry,Hi-Cube,2025-12-15,Non-Scheduled Maintenance,Shutter Door,Sample shutter door reported at Coventry,Body,0,Sample Repair Site 9,1,Fraikin,2025-12-18,2025-12-19,1,2025-12-19,Returned,4,
SA25VME,Avonmouth,18 Tonne,2025-12-15,Legal Maintenance,Inspection,Sample inspection reported at Avonmouth,Mechanical,0,Sample Repair Site 4,1,Fraikin,2025-12-16,2025-12-16,0,2025-12-16,Returned,1,
SA19WDU,Newport,Tractor Unit,2025-12-16,Non-Scheduled Maintenance,Electrical Fault,Sample electrical fault reported at Newport,Mechanical,0,Sample Repair Site 8,0,AO,2025-12-23,2025-12-24,1,2025-12-24,Returned,8,
SA23EPZ,Newport,3.5 Tonne,2025-12-16,Non-Scheduled Maintenance,Engine Fault,Sample engine fault reported at Newport,Mechanical,0,Sample Repair Site 7,1,AO,2025-12-28,2025-12-28,0,2025-12-27,Returned,11,
SA19SZU,Exeter,Tractor Unit,2025-12-17,Non-Scheduled Maintenance,Rear frame damage,Sample rear frame damage reported at Exeter,Body,0,Sample Repair Site 4,1,Fraikin,2025-12-28,2025-12-30,1,2025-12-30,Returned,13,FV100999
SA23LBS,Crewe,3.5 Tonne,2025-12-17,Vehicle Damage - Crew Recharge,Minor Damage,Sample minor damage reported at Crewe,Body,0,Sample Repair Site 3,0,AO,2025-12-21,2025-12-21,0,2025-12-19,Returned,2,
SA19GAU,Basildon,Tractor Unit,2025-12-18,Vehicle Damage - Crew Recharge,Cosmetic Damage,Sample cosmetic damage reported at Basildon,Body,0,Sample Repair Site 7,1,Fraikin,2025-12-21,2025-12-21,0,2025-12-20,Returned,2,
SA19UGK,Outside HDV Network,Tractor Unit,2025-12-18,Legal Maintenance,Inspection,Sample inspection reported at Outside HDV Network,Mechanical,1,Sample Repair Site 7,0,AO,2025-12-19,2025-12-20,1,2025-12-20,Returned,2,
SA21XXN,Dundee,Conventional Trailer,2025-12-19,Legal Maintenance,Inspection,Sample inspection reported at Dundee,Mechanical,1,Sample Repair Site 1,1,AO,2025-12-20,2025-12-20,0,2025-12-20,Returned,1,FV100906
SA21UTW,Avonmouth,DD Trailer,2025-12-19,Legal Maintenance,Inspection,Sample inspection reported at Avonmouth,Mechanical,1,Sample Repair Site 6,1,AO,2025-12-20,2025-12-20,0,2025-12-20,Returned,1,
SA19HYL,Basildon,Tractor Unit,2025-12-22,Non-Scheduled Maintenance,Ironmongery,Sample ironmongery reported at Basildon,Body,0,Sample Repair Site 12,1,AO,2025-12-25,2025-12-25,0,2025-12-24,Returned,2,
SA24SCS,Coventry,3.5 Tonne,2025-12-22,RTC - AO Liable,Major Damage,Sample major damage reported at Coventry,Body,1,Sample Repair Site 3,1,AO,2026-01-15,2026-01-15,0,2026-01-07,Returned,16,
SA24XHH,Dundee,Tractor Unit,2025-12-23,Non-Scheduled Maintenance,Rear frame damage,Sample rear frame damage reported at Dundee,Body,1,Sample Repair Site 2,0,Fraikin,2026-01-01,2026-01-03,1,2026-01-03,Returned,11,
SA25PEK,Basildon,18 Tonne,2025-12-23,Non-Scheduled Maintenance,Brakes,Sample brakes reported at Basildon,Mechanical,0,Sample Repair Site 6,1,Third Party,2025-12-26,2025-12-27,1,2025-12-27,Returned,4,
SA20BXX,Crossgreen,18 Tonne,2025-12-24,Non-Scheduled Maintenance,Shutter Door,Sample shutter door reported at Crossgreen,Body,0,Sample Repair Site 10,1,AO,2025-12-28,2025-12-28,0,2025-12-26,Returned,2,
SA21BAK,Coventry,DD Trailer,2025-12-24,Vehicle Damage - Crew Recharge,Door Damage,Sample door damage reported at Coventry,Body,1,Sample Repair Site 2,1,Fraikin,2025-12-30,2026-01-02,1,2026-01-02,Returned,9,
SA19RCX,Avonmouth,Tractor Unit,2025-12-25,Non-Scheduled Maintenance,Engine Fault,Sample engine fault reported at Avonmouth,Mechanical,1,Sample Repair Site 11,1,AO,2026-01-03,2026-01-20,3,2026-01-20,Returned,26,
SA22CFJ,Crawley,Hi-Cube,2025-12-25,Vehicle Damage - Crew Recharge,Cosmetic Damage,Sample cosmetic damage reported at Crawley,Body,0,Sample Repair Site 5,1,AO,2025-12-28,2025-12-29,1,2025-12-29,Returned,4,
SA19LNB,Fareham,3.5 Tonne,2025-12-26,Non-Scheduled Maintenance,Box Damage,Sample box damage reported at Fareham,Body,0,Sample Repair Site 7,1,AO,2026-01-06,2026-01-10,1,2026-01-10,Returned,15,
SA20OWC,Crewe,18 Tonne,2025-12-26,Non-Scheduled Maintenance,Brakes,Sample brakes reported at Crewe,Mechanical,0,Sample Repair Site 6,1,AO,2025-12-29,2025-12-30,1,2025-12-30,Returned,4,
SA25MCD,Dundee,18 Tonne,2025-12-29,Non-Scheduled Maintenance,Floor failure,Sample floor failure reported at Dundee,Body,0,Sample Repair Site 4,1,AO,2026-01-07,2026-01-19,2,2026-01-19,Returned,21,
SA22GDW,Fareham,Megatrailer,2025-12-29,Non-Scheduled Maintenance,Box Damage,Sample box damage reported at Fareham,Body,0,Sample Repair Site 11,1,Third Party,2026-01-07,2026-01-07,0,2026-01-06,Returned,8,
SA24DPH,Luton,Megatrailer,2025-12-30,Non-Scheduled Maintenance,Steering,Sample steering reported at Luton,Mechanical,0,Sample Repair Site 9,1,AO,2026-01-05,2026-01-17,2,2026-01-17,Returned,18,FV100030
SA23NWN,Exeter,Tractor Unit,2025-12-30,Non-Scheduled Maintenance,Electrical Fault,Sample electrical fault reported at Exeter,Mechanical,0,Sample Repair Site 3,1,Fraikin,2026-01-04,2026-01-06,1,2026-01-06,Returned,7,
SA22YHZ,Spennymoor,3.5 Tonne,2025-12-31,Non-Scheduled Maintenance,Rear frame damage,Sample rear frame damage reported at Spennymoor,Body,1,Sample Repair Site 8,0,AO,2026-01-13,2026-01-17,1,2026-01-17,Returned,17,
SA19YFZ,Coventry,Hi-Cube,2025-12-31,Non-Scheduled Maintenance,Tail Lift,Sample tail lift reported at Coventry,Mechanical,1,Sample Repair Site 7,1,AO,2026-01-07,2026-01-07,0,2026-01-04,Returned,4,FV100585
SA24TKC,Yaxley,3.5 Tonne,2025-12-31,Vehicle Damage - Crew Recharge,Door Damage,Sample door damage reported at Yaxley,Body,0,Sample Repair Site 12,1,AO,2026-01-05,2026-01-05,0,2026-01-05,Returned,5,
SA23PEF,Yaxley,Tractor Unit,2026-01-01,Non-Scheduled Maintenance,Box Damage,Sample box damage reported at Yaxley,Body,1,Sample Repair Site 5,0,AO,2026-01-09,2026-01-15,1,2026-01-15,Returned,14,
SA25VBZ,Crewe,3.5 Tonne,2026-01-01,Legal Maintenance,Service Only,Sample service only reported at Crewe,Mechanical,0,Sample Repair Site 8,1,AO,2026-01-02,2026-01-02,0,2026-01-02,Returned,1,
SA19LNB,Fareham,3.5 Tonne,2026-01-02,Non-Scheduled Maintenance,Clutch,Sample clutch reported at Fareham,Mechanical,0,Sample Repair Site 4,1,AO,2026-01-11,2026-01-20,2,2026-01-20,Returned,18,
SA25ZHN,Basildon,18 Tonne,2026-01-02,Non-Scheduled Maintenance,Ironmongery,Sample ironmongery reported at Basildon,Body,1,Sample Repair Site 4,1,Fraikin,2026-01-05,2026-01-05,0,2026-01-04,Returned,2,
SA25JLO,Crawley,Megatrailer,2026-01-02,Non-Scheduled Maintenance,Clutch,Sample clutch reported at Crawley,Mechanical,0,Sample Repair Site 12,1,AO,2026-01-13,2026-01-15,1,2026-01-15,Returned,13,
SA21UTW,Avonmouth,DD Trailer,2026-01-05,Vehicle Damage - Crew Recharge,Door Damage,Sample door damage reported at Avonmouth,Body,1,Sample Repair Site 1,1,Fraikin,2026-01-10,2026-01-13,1,2026-01-13,Returned,8,
SA25WYS,Crawley,Tractor Unit,2026-01-05,Non-Scheduled Maintenance,Box Damage,Sample box damage reported at Crawley,Body,0,Sample Repair Site 11,1,AO,2026-01-14,2026-01-14,0,2026-01-14,Returned,9,
SA19EXF,Potters-Bar,18 Tonne,2026-01-05,Non-Scheduled Maintenance,Dash Light,Sample dash light reported at Potters-Bar,Mechanical,0,Sample Repair Site 2,0,AO,2026-01-07,2026-01-08,1,2026-01-08,Returned,3,
SA23MME,Yaxley,18 Tonne,2026-01-06,Non-Scheduled Maintenance,Electrical Fault,Sample electrical fault reported at Yaxley,Mechanical,0,Sample Repair Site 12,1,AO,2026-01-12,2026-01-13,1,2026-01-13,Returned,7,
SA23MCX,Crawley,18 Tonne,2026-01-06,Non-Scheduled Maintenance,Box Damage,Sample box damage reported at Crawley,Body,0,Sample Repair Site 8,1,Fraikin,2026-01-13,2026-01-27,3,2026-01-27,Returned,21,
SA21RWX,Luton,3.5 Tonne,2026-01-06,Non-Scheduled Maintenance,Tail Lift,Sample tail lift reported at Luton,Mechanical,0,Sample Repair Site 9,1,Fraikin,2026-01-12,2026-01-14,1,2026-01-14,Returned,8,
SA22ERH,Heywood,Conventional Trailer,2026-01-07,Non-Scheduled Maintenance,Steering,Sample steering reported at Heywood,Mechanical,1,Sample Repair Site 9,1,Fraikin,2026-01-16,2026-01-21,1,2026-01-21,Returned,14,
SA23SYT,Spennymoor,3.5 Tonne,2026-01-07,Non-Scheduled Maintenance,Steering,Sample steering reported at Spennymoor,Mechanical,0,Sample Repair Site 11,1,AO,2026-01-16,2026-01-16,0,2026-01-14,Returned,7,
SA19SSO,Crossgreen,18 Tonne,2026-01-07,Legal Maintenance,Inspection,Sample inspection reported at Crossgreen,Mechanical,0,Sample Repair Site 2,0,AO,2026-01-08,2026-01-08,0,2026-01-08,Returned,1,
SA21FUP,Heywood,Tractor Unit,2026-01-08,Vehicle Damage - Crew Recharge,Door Damage,Sample door damage reported at Heywood,Body,1,Sample Repair Site 2,1,AO,2026-01-13,2026-01-13,0,2026-01-11,Returned,3,
SA22HED,Basildon,Tractor Unit,2026-01-08,Non-Scheduled Maintenance,Dash Light,Sample dash light reported at Basildon,Mechanical,0,Sample Repair Site 12,1,AO,2026-01-10,2026-01-12,1,2026-01-12,Returned,4,
SA19XOT,Basildon,3.5 Tonne,2026-01-08,Legal Maintenance,Inspection,Sample inspection reported at Basildon,Mechanical,1,Sample Repair Site 1,1,AO,2026-01-09,2026-01-09,0,2026-01-09,Returned,1,
SA24JEW,Gravesend,Conventional Trailer,2026-01-09,Non-Scheduled Maintenance,Dash Light,Sample dash light reported at Gravesend,Mechanical,1,Sample Repair Site 3,0,AO,2026-01-11,2026-01-12,1,2026-01-12,Returned,3,
SA25PNC,Luton,3.5 Tonne,2026-01-09,Legal Maintenance,Inspection,Sample inspection reported at Luton,Mechanical,1,Sample Repair Site 9,1,Fraikin,2026-01-10,2026-01-10,0,2026-01-10,Returned,1,
SA20VOV,Outside HDV Network,Conventional Trailer,2026-01-12,Non-Scheduled Maintenance,Ironmongery,Sample ironmongery reported at Outside HDV Network,Body,0,Sample Repair Site 11,1,AO,2026-01-16,2026-01-16,0,2026-01-14,Returned,2,
SA25NOJ,Gravesend,Conventional Trailer,2026-01-12,Non-Scheduled Maintenance,Engine Fault,Sample engine fault reported at Gravesend,Mechanical,1,Sample Repair Site 5,1,AO,2026-01-22,2026-01-28,1,2026-01-28,Returned,16,FV100906
SA19XOT,Basildon,3.5 Tonne,2026-01-13,Non-Scheduled Maintenance,Clutch,Sample clutch reported at Basildon,Mechanical,0,Sample Repair Site 10,1,AO,2026-01-20,2026-02-05,3,2026-02-05,Returned,23,
SA24SMX,Exeter,Hi-Cube,2026-01-13,Non-Scheduled Maintenance,Ironmongery,Sample ironmongery reported at Exeter,Body,0,Sample Repair Site 12,0,AO,2026-01-16,2026-01-21,1,2026-01-21,Returned,8,
SA25CVS,Basildon,Megatrailer,2026-01-14,Non-Scheduled Maintenance,Brakes,Sample brakes reported at Basildon,Mechanical,0,Sample Repair Site 10,1,Fraikin,2026-01-17,2026-01-24,2,2026-01-24,Returned,10,FV100845
SA19MUT,Luton,Tractor Unit,2026-01-14,Non-Scheduled Maintenance,Electrical Fault,Sample electrical fault reported at Luton,Mechanical,0,Sample Repair Site 2,0,Third Party,2026-01-20,2026-01-20,0,2026-01-19,Returned,5,FV100563
SA20DCO,Dundee,Megatrailer,2026-01-15,Non-Scheduled Maintenance,Dash Light,Sample dash light reported at Dundee,Mechanical,0,Sample Repair Site 2,1,AO,2026-01-17,2026-01-19,1,2026-01-19,Returned,4,
SA22PNW,Crossgreen,18 Tonne,2026-01-15,Non-Scheduled Maintenance,Ironmongery,Sample ironmongery reported at Crossgreen,Body,1,Sample Repair Site 11,0,AO,2026-01-18,2026-01-22,1,2026-01-22,Returned,7,
SA20BEY,Larkhall,18 Tonne,2026-01-15,Non-Scheduled Maintenance,Ironmongery,Sample ironmongery reported at Larkhall,Body,0,Sample Repair Site 2,0,AO,2026-01-18,2026-01-25,2,2026-01-25,Returned,10,
SA23KNW,Larkhall,Tractor Unit,2026-01-16,Non-Scheduled Maintenance,Ironmongery,Sample ironmongery reported at Larkhall,Body,0,Sample Repair Site 4,1,AO,2026-01-19,2026-01-19,0,2026-01-18,Returned,2,
SA24ZMN,Newport,Tractor Unit,2026-01-16,Vehicle Damage - Crew Recharge,Minor Damage,Sample minor damage reported at Newport,Body,0,Sample Repair Site 3,1,AO,2026-01-20,2026-01-20,0,2026-01-19,Returned,3,
SA23HXN,Gravesend,3.5 Tonne,2026-01-19,Non-Scheduled Maintenance,Dash Light,Sample dash light reported at Gravesend,Mechanical,1,Sample Repair Site 2,1,AO,2026-01-21,2026-01-21,0,2026-01-21,Returned,2,
SA25EXC,Newport,Hi-Cube,2026-01-19,Legal Maintenance,MOT & Service,Sample mot & service reported at Newport,Mechanical,0,Sample Repair Site 10,1,AO,2026-01-21,2026-01-21,0,2026-01-20,Returned,1,
SA23RZC,Crossgreen,Tractor Unit,2026-01-19,Non-Scheduled Maintenance,Gearbox,Sample gearbox reported at Crossgreen,Mechanical,0,Sample Repair Site 5,1,AO,2026-02-05,2026-02-27,3,2026-02-27,Returned,39,
SA21FDL,Stoke,Hi-Cube,2026-01-20,Non-Scheduled Maintenance,Dash Light,Sample dash light reported at Stoke,Mechanical,0,Sample Repair Site 12,1,Fraikin,2026-01-22,2026-01-22,0,2026-01-22,Returned,2,
SA25JAO,Avonmouth,Tractor Unit,2026-01-20,Vehicle Damage - Crew Recharge,Minor Damage,Sample minor damage reported at Avonmouth,Body,0,Sample Repair Site 3,1,AO,2026-01-25,2026-01-31,1,2026-01-31,Returned,11,FV100860
SA25XLB,Coventry,3.5 Tonne,2026-01-21,Non-Scheduled Maintenance,Shutter Door,Sample shutter door reported at Coventry,Body,0,Sample Repair Site 10,1,Third Party,2026-01-25,2026-01-25,0,2026-01-24,Returned,3,
SA19OEL,Coventry,Tractor Unit,2026-01-21,Non-Scheduled Maintenance,Clutch,Sample clutch reported at Coventry,Mechanical,1,Sample Repair Site 1,0,Fraikin,2026-01-31,2026-02-24,3,2026-02-24,Returned,34,
SA19FDL,Crossgreen,Megatrailer,2026-01-22,Non-Scheduled Maintenance,Floor failure,Sample floor failure reported at Crossgreen,Body,0,Sample Repair Site 7,0,Fraikin,2026-01-29,2026-02-02,1,2026-02-02,Returned,11,
SA19CJE,Fareham,Tractor Unit,2026-01-22,Non-Scheduled Maintenance,Brakes,Sample brakes reported at Fareham,Mechanical,0,Sample Repair Site 1,1,Fraikin,2026-01-25,2026-01-26,1,2026-01-26,Returned,4,
SA21YYZ,Luton,18 Tonne,2026-01-22,Non-Scheduled Maintenance,Dash Light,Sample dash light reported at Luton,Mechanical,1,Sample Repair Site 1,1,Third Party,2026-01-24,2026-02-07,3,2026-02-07,Returned,16,
SA23HMD,Gravesend,Conventional Trailer,2026-01-23,Vehicle Damage - Crew Recharge,Minor Damage,Sample minor damage reported at Gravesend,Body,0,Sample Repair Site 10,1,AO,2026-01-27,2026-01-27,0,2026-01-27,Returned,4,
SA21MRH,Luton,Tractor Unit,2026-01-23,Non-Scheduled Maintenance,Steering,Sample steering reported at Luton,Mechanical,0,Sample Repair Site 3,1,AO,2026-01-30,2026-02-08,2,2026-02-08,Returned,16,
SA25DNN,Yaxley,3.5 Tonne,2026-01-23,Legal Maintenance,Inspection,Sample inspection reported at Yaxley,Mechanical,0,Sample Repair Site 10,1,Fraikin,2026-01-24,2026-01-25,1,2026-01-25,Returned,2,
SA19PGR,Fareham,3.5 Tonne,2026-01-26,Non-Scheduled Maintenance,Rear frame damage,Sample rear frame damage reported at Fareham,Body,0,Sample Repair Site 9,1,Fraikin,2026-02-05,2026-02-16,2,2026-02-16,Returned,21,
SA22YLB,Crossgreen,18 Tonne,2026-01-26,Vehicle Damage - Crew Recharge,Door Damage,Sample door damage reported at Crossgreen,Body,1,Sample Repair Site 9,1,Fraikin,2026-02-01,2026-02-13,2,2026-02-13,Returned,18,FV100973
SA20ZFK,Crossgreen,Hi-Cube,2026-01-27,Non-Scheduled Maintenance,Tail Lift,Sample tail lift reported at Crossgreen,Mechanical,1,Sample Repair Site 10,1,AO,2026-02-01,2026-02-16,3,2026-02-16,Returned,20,
SA22YRV,Crewe,3.5 Tonne,2026-01-27,Vehicle Damage - Crew Recharge,Minor Damage,Sample minor damage reported at Crewe,Body,0,Sample Repair Site 6,0,AO,2026-01-31,2026-02-01,1,2026-02-01,Returned,5,
SA24OLT,Gravesend,18 Tonne,2026-01-27,Legal Maintenance,MOT & Service,Sample mot & service reported at Gravesend,Mechanical,0,Sample Repair Site 10,0,Fraikin,2026-01-28,2026-01-29,1,2026-01-29,Returned,2,
SA21FCG,Spennymoor,18 Tonne,2026-01-28,Non-Scheduled Maintenance,Shutter Door,Sample shutter door reported at Spennymoor,Body,1,Sample Repair Site 4,1,AO,2026-02-02,2026-02-04,1,2026-02-04,Returned,7,
SA22NZW,Gravesend,DD Trailer,2026-01-28,Non-Scheduled Maintenance,Gearbox,Sample gearbox reported at Gravesend,Mechanical,0,Sample Repair Site 4,1,AO,2026-02-16,2026-02-18,1,2026-02-18,Returned,21,
SA20VOV,Outside HDV Network,Conventional Trailer,2026-01-29,Non-Scheduled Maintenance,Box Damage,Sample box damage reported at Outside HDV Network,Body,1,Sample Repair Site 9,0,AO,2026-02-05,2026-02-08,1,2026-02-08,Returned,10,
SA21EYS,Crawley,Tractor Unit,2026-01-29,Non-Scheduled Maintenance,Ironmongery,Sample ironmongery reported at Crawley,Body,0,Sample Repair Site 6,1,Third Party,2026-02-02,2026-02-02,0,2026-02-01,Returned,3,
SA21NEM,Crossgreen,Conventional Trailer,2026-01-30,Vehicle Damage - Crew Recharge,Door Damage,Sample door damage reported at Crossgreen,Body,1,Sample Repair Site 5,1,AO,2026-02-05,2026-02-16,2,2026-02-16,Returned,17,
SA25HHH,Coventry,3.5 Tonne,2026-01-30,Non-Scheduled Maintenance,Electrical Fault,Sample electrical fault reported at Coventry,Mechanical,0,Sample Repair Site 8,1,AO,2026-02-03,2026-02-12,2,2026-02-12,Returned,13,
SA24CXH,Outside HDV Network,3.5 Tonne,2026-02-02,Non-Scheduled Maintenance,Tail Lift,Sample tail lift reported at Outside HDV Network,Mechanical,0,Sample Repair Site 5,1,AO,2026-02-09,2026-02-09,0,2026-02-07,Returned,5,
SA19MHU,Potters-Bar,Tractor Unit,2026-02-02,Non-Scheduled Maintenance,Clutch,Sample clutch reported at Potters-Bar,Mechanical,0,Sample Repair Site 8,1,AO,2026-02-10,2026-02-12,1,2026-02-12,Returned,10,
SA25UAS,Heywood,Conventional Trailer,2026-02-03,RTC - AO Liable,Major Damage,Sample major damage reported at Heywood,Body,0,Sample Repair Site 1,1,AO,2026-02-20,2026-03-28,3,2026-03-28,Returned,53,
SA22KYJ,Coventry,Conventional Trailer,2026-02-03,Legal Maintenance,MOT & Service,Sample mot & service reported at Coventry,Mechanical,0,Sample Repair Site 5,1,Fraikin,2026-02-05,2026-02-05,0,2026-02-05,Returned,2,
SA23TCW,Crawley,3.5 Tonne,2026-02-04,Non-Scheduled Maintenance,Dash Light,Sample dash light reported at Crawley,Mechanical,1,Sample Repair Site 12,1,Third Party,2026-02-07,2026-02-07,0,2026-02-06,Returned,2,
SA24YKF,Crossgreen,Tractor Unit,2026-02-04,Non-Scheduled Maintenance,Shutter Door,Sample shutter door reported at Crossgreen,Body,0,Sample Repair Site 1,1,AO,2026-02-07,2026-02-11,1,2026-02-11,Returned,7,
SA24EGM,Gravesend,3.5 Tonne,2026-02-05,Non-Scheduled Maintenance,Floor failure,Sample floor failure reported at Gravesend,Body,1,Sample Repair Site 1,1,AO,2026-02-13,2026-02-16,1,2026-02-16,Returned,11,
SA19NWX,Crossgreen,3.5 Tonne,2026-02-05,RTC - AO Liable,Major Damage,Sample major damage reported at Crossgreen,Body,0,Sample Repair Site 11,1,AO,2026-02-26,2026-03-27,3,2026-03-27,Returned,50,
SA19TVB,Stoke,3.5 Tonne,2026-02-06,Legal Maintenance,Inspection,Sample inspection reported at Stoke,Mechanical,0,Sample Repair Site 9,1,AO,2026-02-07,2026-02-07,0,2026-02-07,Returned,1,
SA22KZH,Crawley,3.5 Tonne,2026-02-06,Vehicle Damage - Crew Recharge,Cosmetic Damage,Sample cosmetic damage reported at Crawley,Body,1,Sample Repair Site 6,1,AO,2026-02-09,2026-02-10,1,2026-02-10,Returned,4,
SA21NCJ,Crossgreen,Conventional Trailer,2026-02-09,Legal Maintenance,Inspection,Sample inspection reported at Crossgreen,Mechanical,0,Sample Repair Site 6,1,AO,2026-02-10,2026-02-11,1,2026-02-11,Returned,2,
SA24HUO,Dundee,Tractor Unit,2026-02-09,Non-Scheduled Maintenance,Ironmongery,Sample ironmongery reported at Dundee,Body,1,Sample Repair Site 2,1,Fraikin,2026-02-12,2026-02-13,1,2026-02-13,Returned,4,
SA20KDZ,Fareham,Tractor Unit,2026-02-10,Non-Scheduled Maintenance,Gearbox,Sample gearbox reported at Fareham,Mechanical,1,Sample Repair Site 2,1,AO,2026-03-01,2026-03-15,3,2026-03-15,Returned,33,
SA24BEW,Yaxley,18 Tonne,2026-02-10,Legal Maintenance,MOT & Service,Sample mot & service reported at Yaxley,Mechanical,0,Sample Repair Site 8,0,AO,2026-02-12,2026-02-12,0,2026-02-12,Returned,2,
SA24WTN,Yaxley,Hi-Cube,2026-02-11,Legal Maintenance,Inspection,Sample inspection reported at Yaxley,Mechanical,0,Sample Repair Site 4,1,AO,2026-02-12,2026-02-12,0,2026-02-12,Returned,1,
SA21ZKJ,Crawley,Tractor Unit,2026-02-11,Non-Scheduled Maintenance,Electrical Fault,Sample electrical fault reported at Crawley,Mechanical,0,Sample Repair Site 6,0,Fraikin,2026-02-16,2026-02-21,1,2026-02-21,Returned,10,FV100421
SA20UPV,Crewe,18 Tonne,2026-02-12,Non-Scheduled Maintenance,Ironmongery,Sample ironmongery reported at Crewe,Body,0,Sample Repair Site 6,1,Fraikin,2026-02-15,2026-02-18,1,2026-02-18,Returned,6,
SA19BVY,Stoke,Conventional Trailer,2026-02-12,Non-Scheduled Maintenance,Dash Light,Sample dash light reported at Stoke,Mechanical,0,Sample Repair Site 4,1,Fraikin,2026-02-14,2026-02-14,0,2026-02-14,Returned,2,
SA19ELN,Basildon,Tractor Unit,2026-02-13,Vehicle Damage - Crew Recharge,Minor Damage,Sample minor damage reported at Basildon,Body,0,Sample Repair Site 3,1,Fraikin,2026-02-16,2026-02-21,1,2026-02-21,Returned,8,
SA20YKX,Coventry,Megatrailer,2026-02-13,Legal Maintenance,Service Only,Sample service only reported at Coventry,Mechanical,0,Sample Repair Site 1,1,AO,2026-02-14,2026-02-14,0,2026-02-14,Returned,1,
SA22LTW,Luton,Tractor Unit,2026-02-16,Legal Maintenance,Service Only,Sample service only reported at Luton,Mechanical,1,Sample Repair Site 4,1,AO,2026-02-17,2026-02-17,0,2026-02-17,Returned,1,
SA24BKV,Larkhall,18 Tonne,2026-02-16,Non-Scheduled Maintenance,Rear door failure,Sample rear door failure reported at Larkhall,Body,0,Sample Repair Site 5,0,AO,2026-02-21,2026-02-21,0,2026-02-20,Returned,4,
SA23ZOM,Stoke,3.5 Tonne,2026-02-17,Non-Scheduled Maintenance,Electrical Fault,Sample electrical fault reported at Stoke,Mechanical,0,Sample Repair Site 1,0,AO,2026-02-22,2026-02-23,1,2026-02-23,Returned,6,
SA23WCD,Larkhall,Conventional Trailer,2026-02-17,Non-Scheduled Maintenance,Brakes,Sample brakes reported at Larkhall,Mechanical,0,Sample Repair Site 10,1,Fraikin,2026-02-20,2026-02-20,0,2026-02-19,Returned,2,
SA24GMC,Exeter,Conventional Trailer,2026-02-18,Non-Scheduled Maintenance,Rear frame damage,Sample rear frame damage reported at Exeter,Body,1,Sample Repair Site 11,1,Third Party,2026-02-27,2026-03-31,3,2026-03-31,Returned,41,FV100383
SA23AGT,Dundee,Conventional Trailer,2026-02-18,Legal Maintenance,Inspection,Sample inspection reported at Dundee,Mechanical,0,Sample Repair Site 1,0,AO,2026-02-19,2026-02-19,0,2026-02-19,Returned,1,
SA19SJE,Fareham,18 Tonne,2026-02-19,Non-Scheduled Maintenance,Engine Fault,Sample engine fault reported at Fareham,Mechanical,0,Sample Repair Site 4,1,AO,2026-03-04,2026-03-04,0,2026-02-26,Returned,7,
SA21NKD,Larkhall,Tractor Unit,2026-02-19,Non-Scheduled Maintenance,Engine Fault,Sample engine fault reported at Larkhall,Mechanical,0,Sample Repair Site 11,1,AO,2026-03-02,2026-03-06,1,2026-03-06,Returned,15,
SA19UTL,Heywood,Tractor Unit,2026-02-20,Non-Scheduled Maintenance,Fluid Leak,Sample fluid leak reported at Heywood,Mechanical,0,Sample Repair Site 11,1,Third Party,2026-02-24,2026-02-27,1,2026-02-27,Returned,7,
SA25CVS,Basildon,Megatrailer,2026-02-20,Non-Scheduled Maintenance,Floor failure,Sample floor failure reported at Basildon,Body,0,Sample Repair Site 4,1,AO,2026-02-26,2026-02-28,1,2026-02-28,Returned,8,FV100909
SA25JAO,Avonmouth,Tractor Unit,2026-02-23,Non-Scheduled Maintenance,Tail Lift,Sample tail lift reported at Avonmouth,Mechanical,0,Sample Repair Site 12,1,AO,2026-03-02,2026-03-10,2,2026-03-10,Returned,15,
SA22RWZ,Crossgreen,18 Tonne,2026-02-23,Non-Scheduled Maintenance,Steering,Sample steering reported at Crossgreen,Mechanical,1,Sample Repair Site 8,1,AO,2026-03-05,2026-03-18,2,2026-03-18,Returned,23,FV100963
SA23PAS,Newport,Megatrailer,2026-02-24,Non-Scheduled Maintenance,Brakes,Sample brakes reported at Newport,Mechanical,0,Sample Repair Site 2,1,AO,2026-02-27,2026-03-04,1,2026-03-04,Returned,8,
SA25MSC,Heywood,Tractor Unit,2026-02-24,Non-Scheduled Maintenance,Dash Light,Sample dash light reported at Heywood,Mechanical,0,Sample Repair Site 6,1,AO,2026-02-26,2026-02-26,0,2026-02-26,Returned,2,
SA24GBF,Basildon,Hi-Cube,2026-02-25,Non-Scheduled Maintenance,Fluid Leak,Sample fluid leak reported at Basildon,Mechanical,0,Sample Repair Site 10,1,AO,2026-02-28,2026-02-28,0,2026-02-27,Returned,2,
SA21WRZ,Crewe,18 Tonne,2026-02-25,Non-Scheduled Maintenance,Floor failure,Sample floor failure reported at Crewe,Body,1,Sample Repair Site 6,1,AO,2026-03-05,2026-03-08,1,2026-03-08,Returned,11,
